file,name,team,league,teamCode,rarity,landscape,position,order
AZRoadtotheChip_c.png,Green Bay's Road to Tucson,Arizona Rattlers,IFL,AZ,c,FALSE,Promotional,1
GBRoadtotheChip_c.png,Arizona's Road to Tucson,Green Bay Blizzard,IFL,GB,c,FALSE,Promotional,2
Matchup_c.png,IFL National Championship 2026,IFL National Championship 2026,IFL,IFLNC26,c,FALSE,Promotional,3
MVPClash_u.png,MVP Matchup,IFL National Championship 2026,IFL,IFLNC26,u,FALSE,Promotional,4
LiamThompson_r.png,Liam Thompson,Green Bay Blizzard,IFL,GB,r,FALSE,Promotional,5
